player,team_contract,cap_hit
Tyrese Haliburton,IND,48924624.0
Kyrie Irving,DAL,39491282.0
Damian Lillard,POR,35915403.0
Fred VanVleet,HOU,25000000.0
AJ Dybantsa,WAS,14748000.0
Darryn Peterson,UTA,13195320.0
Cameron Boozer,MEM,11849760.0
Caleb Wilson,CHI,10683720.0
Keaton Wagler,LAC,9674760.0
Mikel Brown Jr.,BRK,8787000.0
Darius Acuff Jr.,SAC,8021640.0
Kingston Flemings,ATL,7348680.0
Morez Johnson Jr.,DAL,6754800.0
Brayden Burries,MIL,6417360.0
Yaxel Lendeborg,GSW,6096240.0
Aday Mara,OKC,5791680.0
Nate Ament,MIL,5502000.0
Hannes Steinbach,CHO,5227200.0
Dailyn Swain,CHI,4965480.0
Thomas Sorber,OKC,4887720.0
Bennett Stirtz,OKC,4717320.0
Ebuka Okorie,DET,4481280.0
Christian Anderson Jr.,CHO,4257480.0
Allen Graves,TOR,4065720.0
Jayden Quaintance,SAS,3902760.0
Karim López,MEM,3746760.0
Labaron Philon Jr.,PHI,3597120.0
Zuby Ejiofor,ATL,3453360.0
Cameron Carr,LAL,3315360.0
Sergio de Larrea,DAL,3182280.0
Nassir Little,PHO,3107143.0
Tarris Reed Jr.,SAS,3076920.0
Tarik Biberovic,DAL,3000000.0
Chris Cenac Jr.,BOS,2988120.0
Joshua Jefferson,BRK,2969520.0
Alex Karaban,SAC,2948280.0
Koa Peat,PHO,2926800.0
Mario Hezonja,CLE,2449421.0
Trey Lyles,MIN,2449421.0
JaVale McGee,DAL,2208856.0
Baba Miller,LAC,1705630.0
Milos Uzan,BOS,1357763.0
Bruce Thornton,HOU,1357763.0
Tucker DeVries,BOS,1357763.0
Nate Bittle,TOR,1357763.0
Trevon Brazile,DEN,1357763.0
Bogoljub Markovic,MIL,1357763.0
Henri Veesaar,ATL,1357763.0
Ryan Conwell,MIA,1357763.0
Emanuel Sharp,SAC,1357763.0
Meleek Thomas,CLE,1357763.0
Isaiah Evans,MIN,1357763.0
Vasilije Micić,MIL,666667.0
Mamadi Diakite,MEM,464050.0
Ricky Rubio,CLE,424672.0
Didi Louzada,POR,268032.0
