team,total_payroll,players_on_cap,apron_status
ORL,218125071.0,14,First Apron
NYK,217948756.0,13,First Apron
DEN,217739533.0,13,First Apron
POR,217027751.0,16,First Apron
MIN,215871829.0,13,First Apron
GSW,214864785.0,13,First Apron
OKC,214798992.0,14,First Apron
PHI,208070206.0,14,Tax
HOU,205487343.0,16,Tax
IND,203715395.0,13,Tax
NOP,202691593.0,18,Tax
CLE,201822553.0,14,Tax
BOS,201437932.0,16,Tax
LAL,201332759.0,16,Tax
TOR,200557925.0,16,Tax
MIA,198886535.0,12,Over Cap
SAS,198315672.0,15,Over Cap
ATL,196978253.0,17,Over Cap
DAL,196863734.0,17,Over Cap
LAC,196862414.0,18,Over Cap
PHO,193393075.0,16,Over Cap
SAC,189346486.0,12,Over Cap
WAS,186471414.0,13,Over Cap
UTA,179365019.0,16,Over Cap
MIL,168842263.0,18,Over Cap
CHO,168061447.0,17,Over Cap
CHI,161545080.0,14,Under Cap
BRK,160105139.0,15,Under Cap
DET,153163826.0,15,Under Cap
MEM,150900066.0,21,Under Cap
PHX,1000000.0,1,Under Cap
